hostname,vlan_id,ip_address,subnet_mask,standby_ip,priority,preempt
C1,10,10.0.10.252,255.255.255.0,10.0.10.254,110,yes
C2,10,10.0.10.253,255.255.255.0,10.0.10.254,100,no
C1,20,10.0.20.252,255.255.255.0,10.0.20.254,110,yes
C2,20,10.0.20.253,255.255.255.0,10.0.20.254,100,no
C1,30,10.0.30.252,255.255.255.0,10.0.30.254,110,yes
C2,30,10.0.30.253,255.255.255.0,10.0.30.254,100,no
C1,40,10.0.40.252,255.255.255.0,10.0.40.254,110,yes
C2,40,10.0.40.253,255.255.255.0,10.0.40.254,100,no
C1,1,10.0.1.252,255.255.255.0,10.0.1.254,110,yes
C2,1,10.0.1.253,255.255.255.0,10.0.1.254,100,no
