hostname,ip,port,device_type,username,password
C1,10.0.1.252,22,cisco_ios,YOUR_USERNAME,YOUR_PASSWORD
C2,10.0.1.253,22,cisco_ios,YOUR_USERNAME,YOUR_PASSWORD
Dist1,10.0.1.250,22,cisco_ios,YOUR_USERNAME,YOUR_PASSWORD
Dist2,10.0.1.249,22,cisco_ios,YOUR_USERNAME,YOUR_PASSWORD
A1,10.0.1.248,22,cisco_ios,YOUR_USERNAME,YOUR_PASSWORD
A2,10.0.1.247,22,cisco_ios,YOUR_USERNAME,YOUR_PASSWORD
A3,10.0.1.246,22,cisco_ios,YOUR_USERNAME,YOUR_PASSWORD
A4,10.0.1.245,22,cisco_ios,YOUR_USERNAME,YOUR_PASSWORD
SwitchOT,192.168.10.2,22,cisco_ios,YOUR_USERNAME,YOUR_PASSWORD
PareFeu_pfSense,10.0.1.50,22,linux,YOUR_USERNAME,YOUR_PASSWORD
ClientAlpine,192.168.10.10,22,linux,YOUR_USERNAME,YOUR_PASSWORD
